ADK005,hi,Yes
ADK005,how are you,Yes
ADK005,where you are going,Yes
ADK005,noncence,Yes
XOR329,how are you,Yes
XOR329,how are you,Yes
XOR329,how are you,Yes
XOR329,idiat ,Yes
XOR329,culprit,Yes
QYK685,hi,Yes
XKW126,hi,Yes
XKW126,how are you,Yes
VSZ410,hi,Yes
VSZ410,are you happy,Yes
VSZ410,hi,Yes
VSZ410,hello,Yes
ECJ766,hi,Yes
ECJ766,hello,Yes
AMX950,hi,Yes
AMX950,hello,Yes
AMX950,how are you,Yes
LGG749,how are you,Yes
LGG749,how are you,Yes
LGG749,how are you,Yes
LGG749,how are you,Yes
LGG749,nice,Yes
LGG749,nice,Yes
LGG749,hi,Yes
LGG749,how are you ?,Yes
LGG749,how are you ?,Yes
LGG749,hi,Yes
LGG749,hi how are you,Yes
LGG749,d,Yes
LGG749,hi,Yes
ERK134,hi,Yes
ERK134,how are you,Yes
ERK134,noncence,Yes
OGI864,hi,Yes
OGI864,how are you ,Yes
OGI864,how are you ,Yes
OGI864,hi,Yes
OGI864,hi,Yes
ZNU433,hi,"If you have a stomachache or digestive discomfort, it's important to stay hydrated and avoid foods that may irritate your stomach. You can try over-the-counter remedies such as antacids or anti-diarrheal medications. If your symptoms persist for more than a day or are severe, you should see a doctor."
ZNU433,cough,"If you have a mild headache, you can try resting in a dark, quiet room or using a cold compress on your forehead. Over-the-counter pain relievers like ibuprofen or acetaminophen can also help. If your headache is severe or persistent, or if it's accompanied by other symptoms such as nausea, vomiting or sensitivity to light, you should see a doctor."
ZNU433,cold,"You should rest and drink plenty of fluids. Take a fever reducer like acetaminophen or ibuprofen, and monitor your temperature regularly. If your fever persists for more than three days or reaches a dangerous level, seek medical attention immediately."
ZNU433,fever,"You should rest and drink plenty of fluids. Take a fever reducer like acetaminophen or ibuprofen, and monitor your temperature regularly. If your fever persists for more than three days or reaches a dangerous level, seek medical attention immediately."
ZNU433,hi,"If you have a stomachache or digestive discomfort, it's important to stay hydrated and avoid foods that may irritate your stomach. You can try over-the-counter remedies such as antacids or anti-diarrheal medications. If your symptoms persist for more than a day or are severe, you should see a doctor."
ZNU433,hi,"If you have a stomachache or digestive discomfort, it's important to stay hydrated and avoid foods that may irritate your stomach. You can try over-the-counter remedies such as antacids or anti-diarrheal medications. If your symptoms persist for more than a day or are severe, you should see a doctor."
